epoch	time	lr	trainloss	testloss	trainacc	testacc	testaccNor
0	869.02	0.01	1.88	1.58	24.5	33.8	41.5
1	828.63	0.01	1.5	1.33	36.5	42.7	54.1
2	824.75	0.01	1.32	1.23	42.7	46.8	59.3
3	818.14	0.01	1.2	1.14	46.7	49.7	63.1
4	827.25	0.01	1.11	1.1	50.0	50.1	64.3
5	822.11	0.01	1.05	1.03	52.1	53.7	68.1
6	819.00	0.01	1.0	0.997	54.1	54.8	68.4
7	820.47	0.01	0.965	0.965	55.5	57.2	70.4
8	820.30	0.01	0.929	1.02	57.0	53.5	67.8
9	830.55	0.01	0.904	0.945	58.5	57.5	71.7
