epoch	time	lr	trainloss	testloss	trainacc	testacc
0	480.13	0.01	6.34e+02	1.39	34.7	49.6
1	483.20	0.01	6.12e+02	1.14	51.7	59.5
2	483.17	0.01	5.93e+02	1.06	60.5	62.5
3	494.24	0.01	5.74e+02	0.933	65.7	67.8
4	482.37	0.01	5.56e+02	0.864	68.8	70.6
5	404.72	0.01	5.39e+02	0.771	71.2	73.5
6	403.80	0.01	5.22e+02	0.835	72.5	72.3
7	399.77	0.01	5.06e+02	0.797	73.6	73.0
8	402.64	0.01	4.89e+02	0.736	74.4	74.8
9	399.55	0.01	4.73e+02	0.731	75.0	76.3
